"","X1","doc_id","Date","pr_nr","pr_date","short_text","docket_nb","date","year","pr_dummy","decision_type","second_senate_dummy","chamber_decision","unanimous","sep_op","oral","bvr","bvl","bvq","bvc","bve","bvf","bvb","bvg","bvk","bvh","bvm","bvn","pbvu","bvp","unsuc_dec","uncons","hyp_time_minus","prior_attention","count","lower_co_uncons","status_quo"
"18",18,"19961008_1bvl001591.txt",19961008,NA,NA,"Zur Mitwirkung der Betriebsvertretungen der Zivilbeschaeftigten bei den in Deutschland stationierten NATO-Truppen an Personalentscheidungen
","1 BvL 15/91",1996-10-08 02:00:00,1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996-09-28 02:00:00,1,2758,0,0
"19",19,"19961008_1bvr087592.txt",19961008,NA,NA,"Verfassungsbeschwerde betreffend die Veraeusserung eines Grundstuecks zu dem Zweck, die Genehmigung zur Ausreise aus der ehemaligen DDR zu erhalten
","1 BvR 875/92",1996-10-08 02:00:00,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1996-09-28 02:00:00,1,5376,0,0
"20",20,"19961008_1bvr118390.txt",19961008,NA,NA,"Werkszeitungen geniessen den Schutz der Pressefreiheit
","1 BvR 1183/90",1996-10-08 02:00:00,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1996-09-28 02:00:00,1,3475,0,0
"21",21,"19961015_1bvl004492.txt",19961015,NA,NA,"Die in Art. 4 Abs. 2 des Wohnungsbindungsaenderungsgesetzes angeordnete Rueckwirkung verstoesst bei verfassungskonformer Auslegung nicht gegen Art. 14 Abs. 1 GG
","1 BvL 44/92",1996-10-15 02:00:00,1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996-10-05 02:00:00,1,10505,0,0
"22",22,"19961024_2bvr185194.txt",19961024,NA,NA,"Das Rueckwirkungsverbot des Art. 103 Abs. 2 GG ist absolut und erfuellt seine rechtsstaatliche und grundrechtliche Gewaehrleistungsfunktion durch eine strikte Formalisierung
","2 BvR 1851/94",1996-10-24 02:00:00,1996,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1996-10-14 02:00:00,1,16927,0,0
"23",23,"19961112_1bvl000488.txt",19961112,NA,NA,"Der Ausschluss von Rentenleistungen westdeutscher Versicherungstraeger fuer Berechtigte mit gewoehnlichem Aufenthalt in der DDR war mit dem Grundgesetz vereinbar
","1 BvL 4/88",1996-11-12 01:00:00,1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996-11-02 01:00:00,0,6225,0,0
"24",24,"19961218_1bvr074893.txt",19961218,NA,NA,"Erfolglose Verfassungsbeschwerden betreffend Rechtsstreitigkeiten um die Zulassung des Deutschen Sportfernsehens
","1 BvR 748/93",1996-12-18 01:00:00,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1996-12-08 01:00:00,0,3275,0,0
"25",25,"19970122_2bvr191591.txt",19970122,NA,NA,"Verfassungsbeschwerde betreffend die Verpflichtung zu Warnungen vor Gesundheitsgefahren des Rauchens auf Packungen von Tabakerzeugnissen erfolglos
","2 BvR 1915/91",1997-01-22 01:00:00,1997,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-01-12 01:00:00,0,5267,0,0
"26",26,"19970226_1bvr186494.txt",19970226,NA,NA,"Verfassungsbeschwerden betreffend die Zuordnung von Hochschullehrern der ehemaligen DDR teilweise erfolgreich
","1 BvR 1864/94",1997-02-26 01:00:00,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1997-02-16 01:00:00,1,9642,0,1
"27",27,"19970226_1bvr217296.txt",19970226,NA,NA,"Verfassungsbeschwerde betreffend die Verpflichtung privater Rundfunkveranstalter in Baden-Wuerttemberg, Sendezeitmitschnitte an die Landesmedienanstalt herauszugeben
","1 BvR 2172/96",1997-02-26 01:00:00,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-02-16 01:00:00,1,7529,0,0
